;jan;fev;mar;abr;mai;jun;jul;ago;ste;out;nov;dez;longitude;latitude
0;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-50.0;-22.0
1;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-49.75;-22.0
2;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-49.5;-22.0
3;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-49.25;-22.0
4;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-49.0;-22.0
5;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-48.75;-22.0
6;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-48.5;-22.0
7;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-48.25;-22.0
8;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-48.0;-22.0
9;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-47.75;-22.0
10;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-47.5;-22.0
11;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-47.25;-22.0
12;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-47.0;-22.0
13;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-46.75;-22.0
14;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-46.5;-22.0
15;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-46.25;-22.0
16;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-46.0;-22.0
17;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-45.75;-22.0
18;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-45.5;-22.0
19;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-45.25;-22.0
20;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-45.0;-22.0
21;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-44.75;-22.0
22;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-44.5;-22.0
23;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-44.25;-22.0
24;6.583393573760986;7.1122589111328125;6.20595645904541;6.094183444976807;6.393392086029053;6.553788185119629;7.050384998321533;7.294046401977539;7.530776023864746;7.192656517028809;7.157987594604492;6.263635635375977;-44.0;-22.0
