,latitude,longitude,time,u10,v10
416480,-24.25,-40.5,1994-01-01,-3.105361,0.5714257
420864,-24.25,-40.25,1994-01-01,-2.8355567,0.795532
425248,-24.25,-40.0,1994-01-01,-2.5712967,1.2279155
429632,-24.5,-45.25,1994-01-01,-4.9274635,-1.2405869
434016,-24.5,-45.0,1994-01-01,-4.9293113,-0.89984524
438400,-24.5,-44.75,1994-01-01,-4.860012,-0.6140888
442784,-24.5,-44.5,1994-01-01,-4.742666,-0.36082363
447168,-24.5,-44.25,1994-01-01,-4.515365,-0.20253277
451552,-24.5,-44.0,1994-01-01,-4.405411,0.011576176
455936,-24.5,-43.75,1994-01-01,-4.2621927,0.1498723
460320,-24.5,-43.5,1994-01-01,-4.1365304,0.15820336
464704,-24.5,-43.25,1994-01-01,-4.1171265,0.16903377
469088,-24.5,-43.0,1994-01-01,-4.0210323,0.29733276
473472,-24.5,-42.75,1994-01-01,-3.891674,0.42563152
477856,-24.5,-42.5,1994-01-01,-3.6967127,0.50894237
482240,-24.5,-42.25,1994-01-01,-3.670841,0.6080823
486624,-24.5,-42.0,1994-01-01,-3.669917,0.79136634
491008,-24.5,-41.75,1994-01-01,-3.729052,0.9771497
495392,-24.5,-41.5,1994-01-01,-3.7854154,1.0113072
499776,-24.5,-41.25,1994-01-01,-3.7669356,1.0646262
504160,-24.5,-41.0,1994-01-01,-3.539635,1.0288026
508544,-24.5,-40.75,1994-01-01,-3.3437495,1.0029762
512928,-24.5,-40.5,1994-01-01,-2.972307,1.0562952
517312,-24.5,-40.25,1994-01-01,-2.7607138,1.3645456
521696,-24.5,-40.0,1994-01-01,-2.6405954,1.8285873
526080,-24.75,-45.75,1994-01-01,-4.9006677,-1.3105681
530464,-24.75,-45.5,1994-01-01,-4.9644227,-1.2822424
534848,-24.75,-45.25,1994-01-01,-4.9662704,-1.1289502
539232,-24.75,-45.0,1994-01-01,-4.9219193,-0.8306972
543616,-24.75,-44.75,1994-01-01,-4.7657657,-0.53494346
548000,-24.75,-44.5,1994-01-01,-4.662279,-0.3191681
552384,-24.75,-44.25,1994-01-01,-4.5052013,-0.14754772
556768,-24.75,-44.0,1994-01-01,-4.3813868,0.06822753
561152,-24.75,-43.75,1994-01-01,-4.320404,0.31399488
565536,-24.75,-43.5,1994-01-01,-4.177186,0.43479562
569920,-24.75,-43.25,1994-01-01,-4.0838633,0.4631214
574304,-24.75,-43.0,1994-01-01,-3.9896164,0.5547633
578688,-24.75,-42.75,1994-01-01,-3.8648782,0.6863947
583072,-24.75,-42.5,1994-01-01,-3.8408546,0.84135294
587456,-24.75,-42.25,1994-01-01,-3.8223748,0.9604876
591840,-24.75,-42.0,1994-01-01,-3.9840727,1.1670988
596224,-24.75,-41.75,1994-01-01,-4.1439223,1.3437178
600608,-24.75,-41.5,1994-01-01,-4.177186,1.3737097
604992,-24.75,-41.25,1994-01-01,-4.033968,1.2804015
609376,-24.75,-41.0,1994-01-01,-3.8001993,1.2387462
613760,-24.75,-40.75,1994-01-01,-3.398265,1.246244
618144,-24.75,-40.5,1994-01-01,-3.0462258,1.3437178
622528,-24.75,-40.25,1994-01-01,-2.8845282,1.711952
626912,-24.75,-40.0,1994-01-01,-2.9519792,2.2343113
631296,-25.0,-46.0,1994-01-01,-4.944095,-1.4363675
635680,-25.0,-45.75,1994-01-01,-5.0309496,-1.3055694
640064,-25.0,-45.5,1994-01-01,-5.0947046,-1.2772437
644448,-25.0,-45.25,1994-01-01,-5.071605,-0.98732173
648832,-25.0,-45.0,1994-01-01,-4.9939904,-0.71906054
653216,-25.0,-44.75,1994-01-01,-4.740818,-0.44580078
657600,-25.0,-44.5,1994-01-01,-4.5430846,-0.32916546
661984,-25.0,-44.25,1994-01-01,-4.386007,-0.15754485
666368,-25.0,-44.0,1994-01-01,-4.327796,0.036569595
670752,-25.0,-43.75,1994-01-01,-4.300076,0.2715063
675136,-25.0,-43.5,1994-01-01,-4.153162,0.44729233
679520,-25.0,-43.25,1994-01-01,-4.0358157,0.5430999
683904,-25.0,-43.0,1994-01-01,-3.9637449,0.63890743
688288,-25.0,-42.75,1994-01-01,-3.9378734,0.8371875
692672,-25.0,-42.5,1994-01-01,-3.9129257,0.99047947
697056,-25.0,-42.25,1994-01-01,-3.9295573,1.1845939
701440,-25.0,-42.0,1994-01-01,-4.089407,1.4020355
705824,-25.0,-41.75,1994-01-01,-4.2677364,1.5278349
710208,-25.0,-41.5,1994-01-01,-4.302848,1.544497
714592,-25.0,-41.25,1994-01-01,-4.158706,1.4511888
718976,-25.0,-41.0,1994-01-01,-3.9110775,1.4320273
723360,-25.0,-40.75,1994-01-01,-3.5146873,1.4478564
727744,-25.0,-40.5,1994-01-01,-3.2374911,1.6203101
732128,-25.0,-40.25,1994-01-01,-3.114601,2.007706
736512,-25.0,-40.0,1994-01-01,-3.175584,2.5067384
740896,-25.25,-46.25,1994-01-01,-4.9829025,-1.866252
745280,-25.25,-46.0,1994-01-01,-5.0235577,-1.7487836
749664,-25.25,-45.75,1994-01-01,-5.112261,-1.6063218
754048,-25.25,-45.5,1994-01-01,-5.1094885,-1.2889073
758432,-25.25,-45.25,1994-01-01,-5.086389,-0.9531642
762816,-25.25,-45.0,1994-01-01,-5.0013824,-0.6749058
767200,-25.25,-44.75,1994-01-01,-4.6946187,-0.40997708
771584,-25.25,-44.5,1994-01-01,-4.469166,-0.30083978
775968,-25.25,-44.25,1994-01-01,-4.2991524,-0.2100308
780352,-25.25,-44.0,1994-01-01,-4.2455606,-0.017582655
784736,-25.25,-43.75,1994-01-01,-4.255725,0.20735693
789120,-25.25,-43.5,1994-01-01,-4.1300626,0.3964727
793504,-25.25,-43.25,1994-01-01,-4.0690794,0.55143094
797888,-25.25,-43.0,1994-01-01,-4.031196,0.71055484
802272,-25.25,-42.75,1994-01-01,-4.0044003,0.91133404
806656,-25.25,-42.5,1994-01-01,-4.0016284,1.1287756
811040,-25.25,-42.25,1994-01-01,-4.0275,1.3387191
815424,-25.25,-42.0,1994-01-01,-4.045056,1.5369992
819808,-25.25,-41.75,1994-01-01,-4.1855016,1.6153114
824192,-25.25,-41.5,1994-01-01,-4.2353973,1.6444702
828576,-25.25,-41.25,1994-01-01,-4.1938176,1.6602993
832960,-25.25,-41.0,1994-01-01,-3.948961,1.6436372
837344,-25.25,-40.75,1994-01-01,-3.7096486,1.7111189
841728,-25.25,-40.5,1994-01-01,-3.4490843,1.9044001
846112,-25.25,-40.25,1994-01-01,-3.31603,2.2709682
850496,-25.25,-40.0,1994-01-01,-3.2642868,2.6483667
854880,-25.5,-46.75,1994-01-01,-5.241619,-2.278641
859264,-25.5,-46.5,1994-01-01,-4.9136033,-2.262812
863648,-25.5,-46.25,1994-01-01,-5.010622,-2.2569802
868032,-25.5,-46.0,1994-01-01,-5.093781,-2.1070204
872416,-25.5,-45.75,1994-01-01,-5.108565,-1.8162653
876800,-25.5,-45.5,1994-01-01,-5.082693,-1.4938521
881184,-25.5,-45.25,1994-01-01,-4.955183,-1.0589691
885568,-25.5,-45.0,1994-01-01,-4.805497,-0.7207267
889952,-25.5,-44.75,1994-01-01,-4.582816,-0.4766258
894336,-25.5,-44.5,1994-01-01,-4.4229665,-0.3799851
898720,-25.5,-44.25,1994-01-01,-4.242789,-0.31333637
903104,-25.5,-44.0,1994-01-01,-4.1891975,-0.15671182
907488,-25.5,-43.75,1994-01-01,-4.1633263,0.07739186
911872,-25.5,-43.5,1994-01-01,-4.176262,0.3698132
916256,-25.5,-43.25,1994-01-01,-4.1947417,0.62891006
920640,-25.5,-43.0,1994-01-01,-4.1300626,0.7672062
925024,-25.5,-42.75,1994-01-01,-4.098647,0.9604876
929408,-25.5,-42.5,1994-01-01,-4.095875,1.1695981
933792,-25.5,-42.25,1994-01-01,-4.096799,1.4261956
938176,-25.5,-42.0,1994-01-01,-4.020108,1.6378055
942560,-25.5,-41.75,1994-01-01,-4.085711,1.7602723
946944,-25.5,-41.5,1994-01-01,-4.089407,1.8794072
951328,-25.5,-41.25,1994-01-01,-4.0690794,1.902734
955712,-25.5,-41.0,1994-01-01,-4.045056,1.9085658
960096,-25.5,-40.75,1994-01-01,-3.891674,1.9677165
964480,-25.5,-40.5,1994-01-01,-3.6643732,2.1043465
968864,-25.5,-40.25,1994-01-01,-3.4694118,2.4317586
973248,-25.5,-40.0,1994-01-01,-3.3686972,2.794161
977632,-25.75,-47.0,1994-01-01,-5.2499347,-2.3386247
982016,-25.75,-46.75,1994-01-01,-4.948715,-2.491917
986400,-25.75,-46.5,1994-01-01,-4.7694616,-2.5052466
990784,-25.75,-46.25,1994-01-01,-4.950563,-2.5044136
995168,-25.75,-46.0,1994-01-01,-5.0004582,-2.1844997
999552,-25.75,-45.75,1994-01-01,-4.992142,-1.8295951
1003936,-25.75,-45.5,1994-01-01,-4.9856744,-1.4888535
1008320,-25.75,-45.25,1994-01-01,-4.9219193,-1.096459
1012704,-25.75,-45.0,1994-01-01,-4.6142316,-0.84236073
1017088,-25.75,-44.75,1994-01-01,-4.4081826,-0.74988556
1021472,-25.75,-44.5,1994-01-01,-4.289912,-0.6182543
1025856,-25.75,-44.25,1994-01-01,-4.2797484,-0.46496224
1030240,-25.75,-44.0,1994-01-01,-4.2917604,-0.2708478
1034624,-25.75,-43.75,1994-01-01,-4.308392,-0.040909767
1039008,-25.75,-43.5,1994-01-01,-4.2945323,0.19069457
1043392,-25.75,-43.25,1994-01-01,-4.237245,0.50144434
1047776,-25.75,-43.0,1994-01-01,-4.240017,0.7563758
1052160,-25.75,-42.75,1994-01-01,-4.2196894,0.97381735
1056544,-25.75,-42.5,1994-01-01,-4.19197,1.2345805
1060928,-25.75,-42.25,1994-01-01,-4.166098,1.5020087
1065312,-25.75,-42.0,1994-01-01,-4.102343,1.7336128
1069696,-25.75,-41.75,1994-01-01,-4.010868,1.9335592
1074080,-25.75,-41.5,1994-01-01,-3.9970083,2.0743544
1078464,-25.75,-41.25,1994-01-01,-3.9997804,2.1360047
