jan_U,jan_V,fev_U,fev_V,mar_U,mar_V,abr_U,abr_V,mai_U,mai_V,jun_U,jun_V,jul_U,jul_V,ago_U,ago_V,ste_U,ste_V,out_U,out_V,nov_U,nov_V,dez_U,dez_V
-2.8751544952392583,-1.6943358182907104,-2.413405418395996,-1.7402691841125488,-2.1842494010925293,-1.110076904296875,-1.0218158960342407,-1.1963913440704346,0.2613266408443451,-0.5732507705688477,0.8315613269805908,-1.299061298370361,0.4637021124362946,-1.4158443212509155,-0.3982997238636017,-2.055492162704468,-1.4582159519195557,-1.568226933479309,-2.208651304244995,-1.915543794631958,-2.4537642002105717,-1.781546950340271,-2.3687903881073,-1.7553606033325195
-2.691073179244995,-1.697226881980896,-2.220585584640503,-1.757407307624817,-2.0157811641693115,-1.1207478046417236,-0.9368377327919006,-1.2096092700958252,0.2967102825641632,-0.5583837032318115,0.821069061756134,-1.3094491958618164,0.5014671087265015,-1.3871644735336304,-0.26657551527023315,-2.0250253677368164,-1.2794400453567505,-1.5216816663742063,-2.0284743309021,-1.9055094718933103,-2.3098313808441158,-1.7816010713577268,-2.211021900177002,-1.7771852016448977
-2.5230112075805664,-1.646669864654541,-2.043235540390014,-1.7177305221557615,-1.8618178367614744,-1.0816292762756348,-0.8565458059310913,-1.16484534740448,0.34993645548820496,-0.4997712969779968,0.8608508110046387,-1.2807748317718506,0.5849069952964783,-1.3159490823745728,-0.0939103588461876,-1.9309333562850952,-1.0990728139877322,-1.4021013975143433,-1.8535399436950684,-1.8329646587371824,-2.1794235706329346,-1.7207152843475342,-2.0697808265686035,-1.7411736249923706
-2.312504529953003,-1.5356229543685913,-1.8315674066543581,-1.591347098350525,-1.6694337129592896,-0.9667004942893982,-0.7425615191459656,-1.0579299926757812,0.4361363649368286,-0.384396493434906,0.9315918087959291,-1.1987534761428833,0.7012625932693481,-1.178091049194336,0.11126986145973206,-1.753793239593506,-0.8922495245933533,-1.2065935134887695,-1.6285263299942017,-1.6864303350448608,-2.0105597972869877,-1.5983145236968994,-1.883257269859314,-1.6347529888153076
-2.1633050441741943,-1.3012319803237915,-1.6738569736480713,-1.338497757911682,-1.5335174798965454,-0.7088351845741272,-0.654492974281311,-0.827907919883728,0.5098451375961304,-0.17404544353485107,1.020761013031006,-1.01450514793396,0.827504575252533,-0.9221057295799256,0.30023717880249023,-1.4102340936660769,-0.7497954964637756,-0.8651718497276306,-1.4749432802200315,-1.3709242343902588,-1.9170913696289065,-1.3376811742782593,-1.7622205018997192,-1.394564509391785
-2.063314437866211,-1.0337334871292114,-1.582196593284607,-1.0537862777709959,-1.4754618406295776,-0.4430074095726013,-0.6492164731025696,-0.5672605037689209,0.476870059967041,0.056153934448957436,1.0274615287780762,-0.7474489808082581,0.8525227904319763,-0.5708596110343933,0.35618430376052856,-0.9461565017700196,-0.7235059142112732,-0.4478490054607392,-1.4219125509262085,-0.963592767715454,-1.87861430644989,-1.0077837705612185,-1.6953088045120241,-1.1006020307540894
-2.1872191429138184,-0.7496798038482666,-1.7117751836776731,-0.7619968056678772,-1.6264939308166504,-0.15895283222198486,-0.8240647912025452,-0.2839101850986481,0.305125504732132,0.278697669506073,0.911306083202362,-0.4642115235328674,0.7180294394493103,-0.2052171677350998,0.20889638364315036,-0.4842092990875244,-0.9264996647834778,-0.04023110494017601,-1.6115072965621948,-0.5633208751678467,-2.072559118270874,-0.685637354850769,-1.8656095266342163,-0.8130032420158386
-2.333003520965576,-0.4895574152469635,-1.88212525844574,-0.5143325924873352,-1.818480372428894,0.07742749899625777,-1.05256450176239,-0.035159140825271606,0.060752943158149726,0.4413527846336365,0.6881754398345947,-0.1882028728723526,0.4482780694961548,0.12487012892961502,-0.0721403956413269,-0.08243449032306671,-1.2197823524475098,0.27707335352897644,-1.8633470535278318,-0.2350587695837021,-2.3023393154144287,-0.4095247983932495,-2.07166051864624,-0.5582996010780334
-2.424123764038086,-0.3018676042556763,-2.0097479820251465,-0.3486518859863281,-1.9634493589401243,0.2159254103899002,-1.2536592483520508,0.1256643384695053,-0.17943337559700012,0.5267313122749329,0.4172643423080444,0.027329126372933388,0.12240219116210938,0.3509873151779175,-0.3933025002479553,0.19037297368049624,-1.5000237226486206,0.4559041559696198,-2.08216404914856,-0.029945598915219307,-2.483187437057495,-0.2275182604789734,-2.225362539291382,-0.3846180438995361
-2.7941248416900635,-1.6161093711853027,-2.327951669692993,-1.7019283771514893,-2.1178793907165527,-1.0454601049423218,-0.9305967688560486,-1.1445274353027344,0.3200184404850006,-0.582147479057312,0.9719401001930236,-1.3451780080795288,0.5579891800880432,-1.468278884887695,-0.3143199384212494,-2.055236339569092,-1.433827519416809,-1.5232868194580078,-2.1292850971221924,-1.814899563789368,-2.35296893119812,-1.6721632480621338,-2.2599315643310547,-1.6834959983825684
-2.7174360752105717,-1.5979065895080566,-2.22997784614563,-1.7094801664352417,-2.0439286231994633,-1.0356488227844238,-0.9232604503631592,-1.1239670515060425,0.31649744510650635,-0.5422011017799377,0.9409275650978088,-1.3183363676071167,0.5554256439208984,-1.3935303688049316,-0.2395366281270981,-1.9714837074279783,-1.3435206413269043,-1.4244847297668457,-2.052457571029663,-1.7583471536636353,-2.2981317043304443,-1.6271134614944458,-2.190194845199585,-1.6611250638961792
-2.6430680751800537,-1.5177680253982544,-2.1358892917633057,-1.6481055021286009,-1.9688756465911863,-0.9716986417770386,-0.8955742716789246,-1.0529276132583618,0.3413276970386505,-0.462804913520813,0.9781426191329956,-1.2589651346206665,0.6288158893585205,-1.289614200592041,-0.08642660081386566,-1.8368548154830933,-1.2157829999923706,-1.2612024545669556,-1.9523179531097408,-1.640419602394104,-2.2443127632141118,-1.520430326461792,-2.131726026535034,-1.5803495645523071
-2.48477554321289,-1.385670781135559,-1.9898643493652344,-1.508890986442566,-1.851684331893921,-0.8539835214614868,-0.8492412567138672,-0.9368869066238404,0.3560958504676819,-0.3393990099430084,1.0025488138198853,-1.1362189054489136,0.6871259808540344,-1.1176283359527588,0.04830439016222954,-1.611011266708374,-1.0792571306228638,-1.028120040893555,-1.805184006690979,-1.450937271118164,-2.1284112930297847,-1.3532592058181765,-1.9969344139099119,-1.4411338567733765
-2.3748059272766118,-1.20585036277771,-1.889033794403076,-1.314853310585022,-1.780566930770874,-0.6787548065185547,-0.8416811227798462,-0.7673013806343079,0.3496455252170563,-0.1754768043756485,1.0001707077026367,-0.950179934501648,0.7117975354194641,-0.8792185783386229,0.1269938200712204,-1.2931678295135498,-1.0134276151657104,-0.7365468144416809,-1.7274456024169922,-1.1851834058761597,-2.080704927444458,-1.1361243724822998,-1.9182400703430176,-1.2476449012756348
