jan_U,fev_U,mar_U,abr_U,mai_U,jun_U,jul_U,ago_U,ste_U,out_U,nov_U,dez_U,longitude,latitude
-2.875154495239258,-2.413405418395996,-2.1842494010925293,-1.0218158960342407,0.2613266408443451,0.8315613269805908,0.46370211243629456,-0.3982997238636017,-1.4582159519195557,-2.208651304244995,-2.4537642002105713,-2.3687903881073,-48.0,-29.0
-2.691073179244995,-2.220585584640503,-2.0157811641693115,-0.9368377327919006,0.2967102825641632,0.821069061756134,0.5014671087265015,-0.26657551527023315,-1.2794400453567505,-2.0284743309020996,-2.309831380844116,-2.211021900177002,-48.0,-28.75
-2.5230112075805664,-2.0432355403900146,-1.8618178367614746,-0.8565458059310913,0.34993645548820496,0.8608508110046387,0.5849069952964783,-0.09391035884618759,-1.099072813987732,-1.8535399436950684,-2.1794235706329346,-2.0697808265686035,-48.0,-28.5
-2.312504529953003,-1.831567406654358,-1.6694337129592896,-0.7425615191459656,0.4361363649368286,0.931591808795929,0.7012625932693481,0.11126986145973206,-0.8922495245933533,-1.6285263299942017,-2.0105597972869873,-1.883257269859314,-48.0,-28.25
-2.1633050441741943,-1.6738569736480713,-1.5335174798965454,-0.654492974281311,0.5098451375961304,1.0207610130310059,0.827504575252533,0.30023717880249023,-0.7497954964637756,-1.4749432802200317,-1.9170913696289062,-1.7622205018997192,-48.0,-28.0
-2.063314437866211,-1.582196593284607,-1.4754618406295776,-0.6492164731025696,0.476870059967041,1.0274615287780762,0.8525227904319763,0.35618430376052856,-0.7235059142112732,-1.4219125509262085,-1.8786143064498901,-1.695308804512024,-48.0,-27.75
-2.1872191429138184,-1.7117751836776733,-1.6264939308166504,-0.8240647912025452,0.30512550473213196,0.9113060832023621,0.7180294394493103,0.20889638364315033,-0.9264996647834778,-1.6115072965621948,-2.072559118270874,-1.8656095266342163,-48.0,-27.5
-2.333003520965576,-1.8821252584457397,-1.818480372428894,-1.0525645017623901,0.06075294315814972,0.6881754398345947,0.4482780694961548,-0.0721403956413269,-1.2197823524475098,-1.863347053527832,-2.3023393154144287,-2.0716605186462402,-48.0,-27.25
-2.424123764038086,-2.0097479820251465,-1.9634493589401245,-1.2536592483520508,-0.17943337559700012,0.41726434230804443,0.12240219116210938,-0.3933025002479553,-1.5000237226486206,-2.0821640491485596,-2.483187437057495,-2.225362539291382,-48.0,-27.0
-2.7941248416900635,-2.327951669692993,-2.1178793907165527,-0.9305967688560486,0.3200184404850006,0.9719401001930237,0.5579891800880432,-0.3143199384212494,-1.433827519416809,-2.1292850971221924,-2.35296893119812,-2.2599315643310547,-47.75,-29.0
