;janV;janU;fevV;fevU;marV;marU;abrV;abrU;maiV;maiU;junV;junU;julV;julU;agoV;agoU;steV;steU;outV;outU;novV;novU;dezV;dezU;longitude;latitude
0;-0.10945887118577957;-1.0614725351333618;-0.5670803189277649;-0.9840693473815918;-0.11992620676755905;-1.2716470956802368;0.5973698496818542;-1.4272668361663818;0.22368299961090088;-1.265472650527954;-0.05294821038842201;-1.3703546524047852;0.11176326870918274;-1.4375554323196411;0.11816269904375076;-1.5659943819046018;0.014412077143788338;-1.3707345724105835;0.4921625256538391;-1.661692500114441;0.05498559772968292;-1.3671691417694092;-0.5091705322265625;-0.9538073539733888;-50.0;-22.0
1;-0.033047791570425034;-1.038979172706604;-0.4982787072658539;-0.9251166582107544;-0.04553637281060219;-1.25920832157135;0.6924603581428528;-1.430258870124817;0.2957973778247833;-1.2337862253189087;0.03816358745098114;-1.3215844631195068;0.20804011821746826;-1.3916161060333252;0.22528190910816193;-1.4708172082901;0.09396158158779144;-1.3041298389434814;0.5778810381889343;-1.6345397233963013;0.1658550500869751;-1.3541539907455444;-0.43893736600875854;-0.9114957451820374;-49.75;-22.0
2;0.02416657842695713;-1.0143951177597046;-0.45452067255973816;-0.8468930125236511;0.041193168610334396;-1.239883303642273;0.8221865892410278;-1.3999245166778564;0.3957499563694;-1.1634511947631836;0.12800441682338715;-1.2209221124649048;0.31387436389923096;-1.283458590507507;0.33860480785369873;-1.3388714790344238;0.1823091059923172;-1.210936427116394;0.6900661587715149;-1.5581573247909546;0.26842811703681946;-1.321784257888794;-0.39318782091140747;-0.8991485238075256;-49.5;-22.0
3;0.09145936369895935;-0.950398087501526;-0.415376216173172;-0.7911690473556519;0.12571534514427185;-1.1804556846618652;0.934323787689209;-1.3710564374923706;0.4908183217048645;-1.1453275680541992;0.2283381074666977;-1.1806470155715942;0.4115164875984192;-1.2545658349990845;0.43089860677719116;-1.3011753559112549;0.27656421065330505;-1.1779630184173584;0.8178017139434814;-1.5111440420150757;0.3733695447444916;-1.2695908546447754;-0.3133249282836914;-0.8770918250083923;-49.25;-22.0
4;0.10273116827011108;-0.8813384771347046;-0.44561532139778137;-0.7374168038368225;0.1492239385843277;-1.1241453886032104;0.9612019062042236;-1.3237563371658323;0.4692368805408478;-1.1527750492095947;0.17677360773086548;-1.1635076999664309;0.3668486475944519;-1.2500648498535156;0.359820693731308;-1.3087458610534668;0.23195868730545044;-1.165499925613403;0.8197250962257385;-1.4819331169128418;0.3901941478252411;-1.211950182914734;-0.3054821789264679;-0.826976478099823;-49.0;-22.0
5;0.10706425458192825;-0.8210278749465942;-0.45600777864456177;-0.6837416887283325;0.1652567833662033;-1.0663363933563232;0.9609936475753784;-1.2565206289291382;0.4210330545902252;-1.1547704935073853;0.11218854784965515;-1.160024881362915;0.294374018907547;-1.2460042238235474;0.2764437794685364;-1.3204656839370728;0.17286896705627441;-1.1625821590423584;0.7960809469223022;-1.4532876014709473;0.3975110650062561;-1.1356515884399414;-0.3041841983795166;-0.7791528105735779;-48.75;-22.0
6;0.05767638608813286;-0.8248260617256165;-0.4816990792751312;-0.6871176362037659;0.10793208330869675;-1.0505588054656982;0.8591973781585693;-1.2234898805618286;0.30816754698753357;-1.183749437332153;-0.013460943475365639;-1.1900138854980469;0.16191740334033966;-1.2642159461975098;0.15371035039424896;-1.347143054008484;0.04557685926556587;-1.1815446615219116;0.683156430721283;-1.4502934217453003;0.332711398601532;-1.0910513401031494;-0.3539403975009918;-0.7751494646072388;-48.5;-22.0
7;-0.009726928547024727;-0.8552511930465698;-0.5504237413406372;-0.7166543006896973;-0.003096205648034811;-1.0190529823303225;0.756532609462738;-1.2259432077407837;0.19347216188907623;-1.1827213764190674;-0.1474519670009613;-1.1993672847747805;0.036018598824739456;-1.2760111093521118;0.03717312589287758;-1.3747299909591677;-0.10065039247274399;-1.1888951063156128;0.56288081407547;-1.4511702060699463;0.23450611531734467;-1.0609146356582642;-0.4560260474681854;-0.7527614235877991;-48.25;-22.0
8;-0.020347140729427338;-0.8495935201644897;-0.6057888865470886;-0.7042794227600098;-0.052766963839530945;-0.942938268184662;0.749493420124054;-1.1839706897735596;0.16018958389759064;-1.1109015941619873;-0.21115568280220032;-1.0743414163589478;0.00374315632507205;-1.1585875749588013;-0.01884588971734047;-1.3266769647598269;-0.1477675586938858;-1.1151553392410278;0.5526666641235352;-1.3846668004989624;0.21494314074516296;-0.9865887761116028;-0.48452597856521606;-0.6219739317893982;-48.0;-22.0
9;-0.06982805579900742;-0.6349630355834961;-0.6554961800575256;-0.5461423397064209;-0.07525085657835007;-0.6910188794136047;0.7490026950836182;-0.8976185321807861;0.09568826854228973;-0.8050192594528198;-0.29716023802757263;-0.7517579793930054;-0.051772117614746094;-0.8255465030670166;-0.10113498568534851;-1.0263025760650637;-0.20580393075942993;-0.8719189763069153;0.5241381525993347;-1.0824023485183716;0.19057179987430573;-0.7224990129470825;-0.4662782847881317;-0.3520634472370148;-47.75;-22.0
