jan_V,fev_V,mar_V,abr_V,mai_V,jun_V,jul_V,ago_V,ste_V,out_V,nov_V,dez_V,longitude,latitude
-1.228135347366333,-0.9219828844070435,-0.7909367084503174,-1.6001427173614502,-0.02247016690671444,-0.51191246509552,-1.7456417083740234,-2.221130609512329,-2.303774118423462,-1.7452030181884766,-1.9744302034378052,-1.7793943881988525,-48.0,-29.0
-1.3085662126541138,-0.9308450222015381,-0.7500556111335754,-1.5561355352401733,-0.015152539126574993,-0.5241045951843262,-1.7267630100250244,-2.2075514793395996,-2.2381694316864014,-1.8157873153686523,-1.9540348052978516,-1.7979118824005127,-48.0,-28.75
-1.3374320268630981,-0.8930793404579163,-0.6642909049987793,-1.4642410278320312,0.04043353721499443,-0.5011967420578003,-1.644212245941162,-2.1037487983703613,-2.0980677604675293,-1.7899580001831055,-1.8472486734390259,-1.7746729850769043,-48.0,-28.5
-1.2722505331039429,-0.7473027110099792,-0.5074020028114319,-1.339016079902649,0.16174228489398956,-0.4198887348175049,-1.4908952713012695,-1.9053583145141602,-1.8838837146759033,-1.6652365922927856,-1.6978611946105957,-1.6858456134796143,-48.0,-28.25
-1.0928980112075806,-0.4398746192455292,-0.18095791339874268,-1.135252833366394,0.3710889518260956,-0.2087259143590927,-1.2375514507293701,-1.5132590532302856,-1.5366828441619873,-1.3792446851730347,-1.4282034635543823,-1.4769467115402222,-48.0,-28.0
-0.8601405024528503,-0.11859980970621109,0.11944621801376343,-0.848967432975769,0.5945524573326111,0.09424721449613571,-0.8958801031112671,-0.9634584784507751,-1.03781259059906,-1.033791184425354,-1.1084730625152588,-1.2088537216186523,-48.0,-27.75
-0.5877412557601929,0.23984138667583466,0.45214998722076416,-0.500199556350708,0.8472575545310974,0.4339185357093811,-0.5312960147857666,-0.40828728675842285,-0.5115184187889099,-0.7014857530593872,-0.7824028134346008,-0.9050737023353577,-48.0,-27.5
-0.35717326402664185,0.5282391309738159,0.7360914349555969,-0.1830613613128662,1.0414942502975464,0.7587080001831055,-0.14979064464569092,0.09272695332765579,-0.06084456294775009,-0.4272317886352539,-0.47066256403923035,-0.61091148853302,-48.0,-27.25
-0.22137749195098877,0.6857115030288696,0.8988978862762451,0.020165979862213135,1.127349853515625,0.9776448011398315,0.16283434629440308,0.46165019273757935,0.23073330521583557,-0.25399118661880493,-0.25699323415756226,-0.41043224930763245,-48.0,-27.0
-1.21364164352417,-0.8919113874435425,-0.6855937838554382,-1.5690158605575562,-0.060818862169981,-0.6025214791297913,-1.8553099632263184,-2.2089614868164062,-2.263981819152832,-1.6934374570846558,-1.8807733058929443,-1.7854048013687134,-47.75,-29.0
-1.2825731039047241,-0.9099094271659851,-0.6491614580154419,-1.5008150339126587,-0.04326225072145462,-0.5657593607902527,-1.8123172521591187,-2.1143131256103516,-2.14388370513916,-1.7299267053604126,-1.8092916011810303,-1.7503563165664673,-47.75,-28.75
-1.2892154455184937,-0.8569981455802917,-0.5420733094215393,-1.3812559843063354,0.022861873731017113,-0.50376296043396,-1.7097707986831665,-1.964671015739441,-1.9577854871749878,-1.6651601791381836,-1.6459543704986572,-1.6722708940505981,-47.75,-28.5
-1.2176584005355835,-0.7144942879676819,-0.37373024225234985,-1.2214906215667725,0.1381945013999939,-0.37126290798187256,-1.50668203830719,-1.6933060884475708,-1.6927908658981323,-1.5167515277862549,-1.4403051137924194,-1.539118766784668,-47.75,-28.25
-1.0755176544189453,-0.4682152569293976,-0.12033338099718094,-1.0364593267440796,0.31112411618232727,-0.1739967316389084,-1.2347651720046997,-1.3006800413131714,-1.357308030128479,-1.2778990268707275,-1.215571641921997,-1.350241780281067,-47.75,-28.0
-0.8928186297416687,-0.2056274116039276,0.12000530958175659,-0.7998428344726562,0.5182690620422363,0.07749755680561066,-0.9225072264671326,-0.853251039981842,-0.9491323828697205,-1.0210168361663818,-0.9796110391616821,-1.1051547527313232,-47.75,-27.75
-0.69782954454422,0.06028364226222038,0.3754340410232544,-0.5157551169395447,0.7316420078277588,0.3276340663433075,-0.635496199131012,-0.42088019847869873,-0.5447901487350464,-0.7705188989639282,-0.7270027995109558,-0.8555269241333008,-47.75,-27.5
-0.5504264831542969,0.2620137929916382,0.5789390206336975,-0.27048438787460327,0.9065694212913513,0.5622504353523254,-0.3925344944000244,-0.06544382870197296,-0.2466134876012802,-0.588142991065979,-0.5119341611862183,-0.656457781791687,-47.75,-27.25
-0.4215828776359558,0.4361295700073242,0.7446446418762207,-0.08314448595046997,1.0189580917358398,0.7658382654190063,-0.1398938149213791,0.2566283345222473,0.008752209134399891,-0.43757539987564087,-0.32949790358543396,-0.4896673262119293,-47.75,-27.0
-0.3234650492668152,0.5806676745414734,0.8781414031982422,0.03231041133403778,1.08673095703125,0.882142186164856,0.0554300881922245,0.47384077310562134,0.20416323840618134,-0.3210033178329468,-0.2022116333246231,-0.37879157066345215,-47.75,-26.75
-1.1895225048065186,-0.8767735362052917,-0.5659309029579163,-1.5193320512771606,-0.09218700230121613,-0.6407526135444641,-1.9366909265518188,-2.2115321159362793,-2.232452154159546,-1.6024247407913208,-1.780517578125,-1.7806750535964966,-47.5,-29.0
-1.2503447532653809,-0.9007596969604492,-0.5358155369758606,-1.4566839933395386,-0.08930263668298721,-0.6079460382461548,-1.8859052658081055,-2.079017400741577,-2.0925395488739014,-1.6273894309997559,-1.6964130401611328,-1.7269988059997559,-47.5,-28.75
-1.2626572847366333,-0.842792809009552,-0.437359094619751,-1.3374803066253662,-0.0402425080537796,-0.5300864577293396,-1.7766543626785278,-1.918086051940918,-1.8982399702072144,-1.588009238243103,-1.54409921169281,-1.6348563432693481,-47.5,-28.5
-1.2254058122634888,-0.702273428440094,-0.2757774591445923,-1.2021453380584717,0.05907178670167923,-0.4182886779308319,-1.5941327810287476,-1.7026690244674683,-1.6937947273254395,-1.50800359249115,-1.3846925497055054,-1.533053994178772,-47.5,-28.25
-1.106139063835144,-0.48118624091148376,-0.05007080361247063,-1.047975778579712,0.1941758245229721,-0.29269781708717346,-1.3776278495788574,-1.3872276544570923,-1.4148932695388794,-1.3229084014892578,-1.1949883699417114,-1.3475087881088257,-47.5,-28.0
-0.9354116916656494,-0.2582859396934509,0.17537125945091248,-0.8312802910804749,0.361173152923584,-0.0972762182354927,-1.1073330640792847,-1.0083283185958862,-1.0591102838516235,-1.0829010009765625,-0.9699417948722839,-1.112998604774475,-47.5,-27.75
-0.766352117061615,-0.04296288639307022,0.3801906406879425,-0.5787845253944397,0.56489098072052,0.101333387196064,-0.8564078211784363,-0.6307321786880493,-0.7057318091392517,-0.8527012467384338,-0.719531774520874,-0.8789812922477722,-47.5,-27.5
-0.6241376399993896,0.14461824297904968,0.5610016584396362,-0.3433917462825775,0.733598530292511,0.3144225776195526,-0.621006190776825,-0.28136059641838074,-0.40790194272994995,-0.6705880761146545,-0.5071963667869568,-0.681755006313324,-47.5,-27.25
-0.5328264832496643,0.2661082446575165,0.6556392312049866,-0.19157107174396515,0.8459237813949585,0.44253912568092346,-0.4444357454776764,-0.023324359208345413,-0.18453064560890198,-0.5402653813362122,-0.3530820608139038,-0.5496857762336731,-47.5,-27.0
-0.4481906592845917,0.39133790135383606,0.7752282023429871,-0.07966408133506775,0.9117691516876221,0.546344518661499,-0.26502692699432373,0.17805443704128265,0.0023049605078995228,-0.4286501407623291,-0.22852984070777893,-0.4460046887397766,-47.5,-26.75
-0.4372093379497528,0.45995384454727173,0.8820204138755798,0.007371042855083942,0.957158088684082,0.662604808807373,-0.10104155540466309,0.29295721650123596,0.13749060034751892,-0.325130820274353,-0.12356773018836975,-0.39042437076568604,-47.5,-26.5
-1.1245797872543335,-0.8155049681663513,-0.410508930683136,-1.4186936616897583,-0.06069527938961983,-0.6111530065536499,-1.993881344795227,-2.1607728004455566,-2.173363447189331,-1.4842959642410278,-1.6705820560455322,-1.7303454875946045,-47.25,-29.0
-1.1647703647613525,-0.8208043575286865,-0.3620647192001343,-1.3434553146362305,-0.06333815306425095,-0.5796200037002563,-1.955510139465332,-2.039152145385742,-2.0415396690368652,-1.5170938968658447,-1.5766891241073608,-1.6717358827590942,-47.25,-28.75
-1.180999994277954,-0.7629953622817993,-0.2641380727291107,-1.239636778831482,-0.057856835424900055,-0.5335771441459656,-1.8577415943145752,-1.8985662460327148,-1.8666539192199707,-1.4954032897949219,-1.4404460191726685,-1.5892077684402466,-47.25,-28.5
-1.1527295112609863,-0.630991518497467,-0.11472156643867493,-1.132576823234558,-0.0035272438544780016,-0.4539695680141449,-1.6655452251434326,-1.7055915594100952,-1.6751980781555176,-1.4135135412216187,-1.2847933769226074,-1.4870562553405762,-47.25,-28.25
-1.0625214576721191,-0.45243632793426514,0.06922905147075653,-1.0148125886917114,0.08116339892148972,-0.37644654512405396,-1.4611070156097412,-1.4482067823410034,-1.432535171508789,-1.251918911933899,-1.1147600412368774,-1.3147168159484863,-47.25,-28.0
-0.9440283179283142,-0.2878519892692566,0.23572105169296265,-0.8534399271011353,0.19484786689281464,-0.2585650086402893,-1.2578485012054443,-1.164067268371582,-1.1537779569625854,-1.075895071029663,-0.9340640306472778,-1.1201144456863403,-47.25,-27.75
-0.8037758469581604,-0.104829341173172,0.40255194902420044,-0.6331713199615479,0.36450251936912537,-0.11050470918416977,-1.0470579862594604,-0.8413578867912292,-0.8442639112472534,-0.8811634182929993,-0.7101872563362122,-0.9110472202301025,-47.25,-27.5
-0.702948808670044,0.020110899582505226,0.49966222047805786,-0.45465773344039917,0.49228906631469727,-0.013681403361260891,-0.8581796288490295,-0.5784009099006653,-0.5886332988739014,-0.749217689037323,-0.5254819393157959,-0.7546903491020203,-47.25,-27.25
-0.611818253993988,0.14127197861671448,0.5941763520240784,-0.3031328022480011,0.6040523648262024,0.11369924247264862,-0.6821687817573547,-0.32111477851867676,-0.3656487762928009,-0.6190628409385681,-0.3713783621788025,-0.622733473777771,-47.25,-27.0
-0.5717767477035522,0.22950251400470734,0.6928839087486267,-0.19254207611083984,0.7039485573768616,0.2635924518108368,-0.5116980075836182,-0.1586378961801529,-0.1921703815460205,-0.5279620885848999,-0.2665160298347473,-0.5463287830352783,-47.25,-26.75
-0.5613197088241577,0.29789018630981445,0.7984558343887329,-0.10442917793989182,0.7535912990570068,0.38240134716033936,-0.35245874524116516,-0.0446733757853508,-0.0584912933409214,-0.4257258474826813,-0.16457003355026245,-0.4935970604419708,-47.25,-26.5
-0.5531055331230164,0.36727407574653625,0.8986427783966064,0.013225086964666843,0.7882964611053467,0.4382879137992859,-0.2391725331544876,0.0884416326880455,0.07511782646179199,-0.27092766761779785,-0.045762501657009125,-0.4350859224796295,-47.25,-26.25
-0.5294380784034729,0.4334472715854645,0.9788303375244141,0.09726715087890625,0.7872440218925476,0.4484116733074188,-0.1477985382080078,0.22654125094413757,0.21659310162067413,-0.09695197641849518,0.06456966698169708,-0.36476612091064453,-47.25,-26.0
-1.067473292350769,-0.727641224861145,-0.2687218487262726,-1.3023357391357422,-0.012898994609713554,-0.5872041583061218,-2.018860101699829,-2.0485589504241943,-2.099562644958496,-1.364304542541504,-1.5582737922668457,-1.676512360572815,-47.0,-29.0
-1.086822271347046,-0.7219182848930359,-0.1948724091053009,-1.2355996370315552,-0.04235532879829407,-0.5823222398757935,-1.989132285118103,-1.9651621580123901,-1.9972500801086426,-1.423442006111145,-1.4532670974731445,-1.6340467929840088,-47.0,-28.75
-1.1004016399383545,-0.662793755531311,-0.09269979596138,-1.1461950540542603,-0.04100673645734787,-0.5451392531394958,-1.8957065343856812,-1.8425397872924805,-1.8448998928070068,-1.410908579826355,-1.326414942741394,-1.5666941404342651,-47.0,-28.5
-1.0926181077957153,-0.5542499423027039,0.027687672525644302,-1.0713237524032593,-0.02758750692009926,-0.4920450747013092,-1.733466386795044,-1.6979800462722778,-1.6856869459152222,-1.3421695232391357,-1.198745846748352,-1.4784433841705322,-47.0,-28.25
-1.0381300449371338,-0.4236429035663605,0.16285814344882965,-0.9828465580940247,0.012853452935814857,-0.4403657615184784,-1.5628137588500977,-1.5139591693878174,-1.474951148033142,-1.2101926803588867,-1.0482513904571533,-1.3250797986984253,-47.0,-28.0
-0.9452077150344849,-0.29970583319664,0.28161782026290894,-0.8630632758140564,0.06863022595643997,-0.37699124217033386,-1.3831785917282104,-1.2895525693893433,-1.229429006576538,-1.0490726232528687,-0.8824138045310974,-1.1432191133499146,-47.0,-27.75
-0.8593985438346863,-0.18409721553325653,0.3702632486820221,-0.7138665318489075,0.1412951946258545,-0.3224976360797882,-1.2184953689575195,-1.0674872398376465,-0.9872544407844543,-0.9101570844650269,-0.7126123309135437,-0.9784631133079529,-47.0,-27.5
-0.7594544887542725,-0.06013686954975128,0.46704453229904175,-0.5359690189361572,0.26859772205352783,-0.22743716835975647,-1.0295225381851196,-0.8064438104629517,-0.7317500710487366,-0.7796149253845215,-0.5280322432518005,-0.8231322765350342,-47.0,-27.25
-0.7117100954055786,0.008408107794821262,0.5356118679046631,-0.41493114829063416,0.3611491322517395,-0.1322391927242279,-0.8661924004554749,-0.650568425655365,-0.5471618175506592,-0.7044996023178101,-0.4119919240474701,-0.7084475159645081,-47.0,-27.0
-0.673377275466919,0.09473209083080292,0.6345088481903076,-0.30436551570892334,0.46248745918273926,0.02166081592440605,-0.6936627626419067,-0.4914636015892029,-0.3741495907306671,-0.6151622533798218,-0.30852848291397095,-0.6326131224632263,-47.0,-26.75
-0.6482565402984619,0.178853377699852,0.7266518473625183,-0.20365825295448303,0.5365276336669922,0.12745700776576996,-0.5347059369087219,-0.3361794352531433,-0.2226906418800354,-0.49910280108451843,-0.199973002076149,-0.5799607634544373,-47.0,-26.5
-0.6308459043502808,0.2625368535518646,0.8165743350982666,-0.08231142163276672,0.5883631706237793,0.1949722021818161,-0.3998292088508606,-0.1693723052740097,-0.06800925731658936,-0.32962682843208313,-0.07265316694974899,-0.5155428647994995,-47.0,-26.25
-0.6189741492271423,0.326334148645401,0.8850407004356384,0.011788829229772091,0.6283347010612488,0.2174714356660843,-0.2997312843799591,-0.025480881333351135,0.06878194212913513,-0.152197003364563,0.03695341572165489,-0.44558215141296387,-47.0,-26.0
-0.6023867726325989,0.32172736525535583,0.9678429961204529,0.11776718497276306,0.6894637942314148,0.2428794801235199,-0.14584481716156006,0.09306000918149948,0.2125808447599411,0.03488673269748688,0.16082437336444855,-0.382167249917984,-47.0,-25.75
-1.0126482248306274,-0.6312492489814758,-0.11931610852479935,-1.1947592496871948,0.02247210219502449,-0.5824015140533447,-2.0237035751342773,-1.9545520544052124,-2.046748638153076,-1.287826657295227,-1.4477933645248413,-1.6482124328613281,-46.75,-29.0
-1.0264580249786377,-0.6211669445037842,-0.039594314992427826,-1.1272062063217163,-0.00896026287227869,-0.5785430073738098,-1.9904518127441406,-1.8772377967834473,-1.947559118270874,-1.3494725227355957,-1.3397053480148315,-1.6084641218185425,-46.75,-28.75
-1.0252858400344849,-0.5576127171516418,0.06197449937462807,-1.0490525960922241,-0.016365719959139824,-0.5441481471061707,-1.894666314125061,-1.782583475112915,-1.8173784017562866,-1.3291120529174805,-1.2211494445800781,-1.55322265625,-46.75,-28.5
-1.0310099124908447,-0.47230857610702515,0.1521308571100235,-0.993186891078949,-0.02533533424139023,-0.5081827640533447,-1.7625478506088257,-1.665088415145874,-1.6707381010055542,-1.2591110467910767,-1.107892394065857,-1.4638404846191406,-46.75,-28.25
-0.9997072219848633,-0.3816688060760498,0.25131312012672424,-0.9242954850196838,-0.008730404078960419,-0.4722801744937897,-1.618514895439148,-1.51833176612854,-1.4749382734298706,-1.1420260667800903,-0.9619843363761902,-1.3175349235534668,-46.75,-28.0
-0.9320554137229919,-0.29560035467147827,0.3294965922832489,-0.843705415725708,0.0024793162010610104,-0.4380507469177246,-1.4623945951461792,-1.3494476079940796,-1.253358244895935,-1.0025568008422852,-0.7986235618591309,-1.1562798023223877,-46.75,-27.75
-0.8740397095680237,-0.2096053808927536,0.39939597249031067,-0.7250801920890808,0.038548458367586136,-0.39465761184692383,-1.305219292640686,-1.168544054031372,-1.0409295558929443,-0.8891435861587524,-0.6612699031829834,-1.0197091102600098,-46.75,-27.5
-0.8306108713150024,-0.13940221071243286,0.44406652450561523,-0.6162728071212769,0.08996123820543289,-0.3389817476272583,-1.1599193811416626,-1.0317625999450684,-0.8607804775238037,-0.8223567008972168,-0.5460893511772156,-0.890744686126709,-46.75,-27.25
-0.7922757267951965,-0.08284620940685272,0.5034393668174744,-0.5049883723258972,0.17125700414180756,-0.2580207288265228,-1.0084631443023682,-0.9009855389595032,-0.6909314393997192,-0.7583984136581421,-0.44077229499816895,-0.7776639461517334,-46.75,-27.0
-0.7573481798171997,-0.010665523819625378,0.5881562829017639,-0.39612138271331787,0.24955934286117554,-0.17752322554588318,-0.8604250550270081,-0.7565116286277771,-0.530044674873352,-0.666988730430603,-0.33438241481781006,-0.6938466429710388,-46.75,-26.75
-0.7267500162124634,0.07626628875732422,0.6800235509872437,-0.28730541467666626,0.32107895612716675,-0.09891567379236221,-0.7087334394454956,-0.5864121317863464,-0.3733420968055725,-0.5427389740943909,-0.21580706536769867,-0.6363902688026428,-46.75,-26.5
-0.7071714401245117,0.15867599844932556,0.740532636642456,-0.17681707441806793,0.4072501063346863,-0.038916394114494324,-0.5551009774208069,-0.3932281732559204,-0.21205444633960724,-0.3886326551437378,-0.09954099357128143,-0.5924609303474426,-46.75,-26.25
-0.6946898698806763,0.22581259906291962,0.8295881152153015,-0.0567006841301918,0.505692183971405,0.013311137445271015,-0.42466700077056885,-0.21388621628284454,-0.047344405204057693,-0.20584574341773987,0.018084121868014336,-0.5255462527275085,-46.75,-26.0
-0.6905953884124756,0.21624530851840973,0.8902847766876221,0.04259847477078438,0.5749819874763489,0.07575715333223343,-0.24737733602523804,-0.09658890217542648,0.09618919342756271,-0.031617213040590286,0.1363927274942398,-0.4487472474575043,-46.75,-25.75
-0.6514607667922974,0.22601033747196198,0.9320238828659058,0.11296945065259933,0.6231112480163574,0.16270549595355988,-0.08743664622306824,0.02592429332435131,0.2333669662475586,0.11634989827871323,0.2292630970478058,-0.3749544620513916,-46.75,-25.5
-0.9927729964256287,-0.5736047029495239,0.0033580719027668238,-1.1102466583251953,0.05102233588695526,-0.5824459791183472,-2.0262134075164795,-1.8514255285263062,-1.989640474319458,-1.236405611038208,-1.36037015914917,-1.6205222606658936,-46.5,-29.0
-0.9760661721229553,-0.530154287815094,0.09337678551673889,-1.0329320430755615,0.02247089520096779,-0.564985990524292,-1.9683008193969727,-1.8100694417953491,-1.9064812660217285,-1.2885911464691162,-1.2550773620605469,-1.5869749784469604,-46.5,-28.75
-0.9586368799209595,-0.45661240816116333,0.1989680677652359,-0.9459220170974731,0.016611451283097267,-0.5195674896240234,-1.857384443283081,-1.7177993059158325,-1.7723404169082642,-1.2512989044189453,-1.1311700344085693,-1.528798222541809,-46.5,-28.5
-0.9741273522377014,-0.39809849858283997,0.2571660578250885,-0.9038906693458557,-0.004973127041012049,-0.5010190606117249,-1.7586697340011597,-1.6175681352615356,-1.627321481704712,-1.1676344871520996,-1.0211776494979858,-1.4272189140319824,-46.5,-28.25
-0.9716799259185791,-0.3684098422527313,0.30872100591659546,-0.8669092059135437,-0.014353390783071518,-0.4868592917919159,-1.645816445350647,-1.50705087184906,-1.4482433795928955,-1.0617114305496216,-0.8750435709953308,-1.2898173332214355,-46.5,-28.0
-0.9491381645202637,-0.3448140323162079,0.35892701148986816,-0.8202478885650635,-0.039379969239234924,-0.47881871461868286,-1.5206516981124878,-1.4040307998657227,-1.2794954776763916,-0.9662824869155884,-0.7530269026756287,-1.1783274412155151,-46.5,-27.75
-0.9256197810173035,-0.28080153465270996,0.40618231892585754,-0.7475466132164001,-0.03561041131615639,-0.4399130642414093,-1.3793392181396484,-1.2861442565917969,-1.1081204414367676,-0.891160786151886,-0.6510319709777832,-1.0548293590545654,-46.5,-27.5
-0.8930562138557434,-0.21382062137126923,0.43942922353744507,-0.6641538143157959,-0.008139469660818577,-0.3916684091091156,-1.253138542175293,-1.191696286201477,-0.952028751373291,-0.8405581116676331,-0.5521337985992432,-0.9259421825408936,-46.5,-27.25
-0.8468802571296692,-0.14959342777729034,0.4946710765361786,-0.5678293704986572,0.04175475239753723,-0.33332085609436035,-1.1254997253417969,-1.0954726934432983,-0.8068675398826599,-0.77985680103302,-0.4528470039367676,-0.8197978138923645,-46.5,-27.0
-0.8034077286720276,-0.06903781741857529,0.5789292454719543,-0.45685043931007385,0.11070992797613144,-0.27107587456703186,-0.983099102973938,-0.9466540217399597,-0.649621844291687,-0.6834360957145691,-0.3414362967014313,-0.7466842532157898,-46.5,-26.75
-0.78043532371521,0.02127205766737461,0.6445150375366211,-0.3445277810096741,0.18708887696266174,-0.23163138329982758,-0.846931517124176,-0.7499856352806091,-0.4758274555206299,-0.5606065988540649,-0.2092292755842209,-0.6916766166687012,-46.5,-26.5
-0.7661948800086975,0.07359278947114944,0.6757895946502686,-0.23885831236839294,0.26935404539108276,-0.21589922904968262,-0.7215582132339478,-0.5710358619689941,-0.3202543258666992,-0.42163899540901184,-0.09616542607545853,-0.6420849561691284,-46.5,-26.25
