longitude,latitude
-43.5,-24.75
-43.5,-24.5
-43.5,-24.25
-43.5,-24.0
-43.5,-23.75
-43.5,-23.5
-43.25,-29.0
-43.25,-28.75
-43.25,-28.5
-43.25,-28.25
-43.25,-28.0
-43.25,-27.75
-43.25,-27.5
-43.25,-27.25
-43.25,-27.0
-43.25,-26.75
-43.25,-26.5
-43.25,-26.25
-43.25,-26.0
-43.25,-25.75
-43.25,-25.5
-43.25,-25.25
-43.25,-25.0
-43.25,-24.75
-43.25,-24.5
-43.25,-24.25
-43.25,-24.0
-43.25,-23.75
-43.25,-23.5
-43.0,-29.0
-43.0,-28.75
-43.0,-28.5
-43.0,-28.25
-43.0,-28.0
-43.0,-27.75
-43.0,-27.5
-43.0,-27.25
-43.0,-27.0
-43.0,-26.75
-43.0,-26.5
-43.0,-26.25
-43.0,-26.0
-43.0,-25.75
-43.0,-25.5
-43.0,-25.25
-43.0,-25.0
-43.0,-24.75
-43.0,-24.5
-43.0,-24.25
-43.0,-24.0
-43.0,-23.75
-43.0,-23.5
-42.75,-29.0
-42.75,-28.75
-42.75,-28.5
-42.75,-28.25
-42.75,-28.0
-42.75,-27.75
-42.75,-27.5
-42.75,-27.25
-42.75,-27.0
-42.75,-26.75
-42.75,-26.5
-42.75,-26.25
-42.75,-26.0
-42.75,-25.75
-42.75,-25.5
-42.75,-25.25
-42.75,-25.0
-42.75,-24.75
-42.75,-24.5
-42.75,-24.25
-42.75,-24.0
-42.75,-23.75
-42.75,-23.5
-42.5,-29.0
-42.5,-28.75
-42.5,-28.5
-42.5,-28.25
-42.5,-28.0
-42.5,-27.75
-42.5,-27.5
-42.5,-27.25
-42.5,-27.0
-42.5,-26.75
-42.5,-26.5
-42.5,-26.25
-42.5,-26.0
-42.5,-25.75
-42.5,-25.5
-42.5,-25.25
-42.5,-25.0
-42.5,-24.75
-42.5,-24.5
-42.5,-24.25
-42.5,-24.0
-42.5,-23.75
-42.5,-23.5
-42.25,-29.0
-42.25,-28.75
-42.25,-28.5
-42.25,-28.25
-42.25,-28.0
-42.25,-27.75
-42.25,-27.5
-42.25,-27.25
-42.25,-27.0
-42.25,-26.75
-42.25,-26.5
-42.25,-26.25
-42.25,-26.0
-42.25,-25.75
-42.25,-25.5
-42.25,-25.25
-42.25,-25.0
-42.25,-24.75
-42.25,-24.5
-42.25,-24.25
-42.25,-24.0
-42.25,-23.75
-42.25,-23.5
-42.0,-29.0
-42.0,-28.75
-42.0,-28.5
-42.0,-28.25
-42.0,-28.0
-42.0,-27.75
-42.0,-27.5
-42.0,-27.25
-42.0,-27.0
-42.0,-26.75
-42.0,-26.5
-42.0,-26.25
-42.0,-26.0
-42.0,-25.75
-42.0,-25.5
-42.0,-25.25
-42.0,-25.0
-42.0,-24.75
-42.0,-24.5
